Series Name,Series Code,Country Name,Country Code,1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.26752391955627,1.23289692658256,1.15096712425519,1.4980690503222,1.52090258244656,1.47207583569464,1.39905939636436,1.33932613300387,1.34153880114804,1.24331859806521,1.16201811895484,1.08251791191249,1.00981759022626,0.945143499696979,0.935083007973917,0.914768895115958,0.829969613670501,0.846565522763141,0.836826475272394,0.932289874086882,0.960314254893482,0.962521411299573,0.860025572205809,0.876738273894809,0.957270207772168,0.96697348810863,0.949232399475424,0.963708568284735,0.950514367943814,1.03199746857486,0.993735662823405,0.992310788871716,0.986813617212459
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.98136637865708,3.94996865194167,3.74665367607571,3.8059964707559,3.75821515962555,3.73284584254963,3.62719038121594,3.57625619636044,3.37233787522264,3.10029784263826,2.8851384422121,2.67496335766796,2.4755438072703,2.41854910836254,2.31610663168008,2.28636394953198,2.19031634336807,2.25316545287533,2.30314898974126,2.42842154301003,2.42859433159241,2.29976025405597,2.2575712577843,2.31039164240637,2.45888938457728,2.44937555672202,2.4427478635107,2.32191761254394,2.28214668470544,2.33213722622592,2.21511457021467,2.14127204912138,2.05924968214381
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.5626676536245,13.2087282523627,12.6029148448345,12.5332457980431,12.3782882151268,12.3586718574984,12.3233459001203,12.128984365401,11.6957301201427,11.4282189371372,11.0308901198655,10.7452820511729,10.5020494606998,10.2119948847409,9.9936555637458,9.80029340890725,9.80974355841066,9.36583837991465,8.43570702960765,8.20902198074284,8.4646957789818,8.48912468137814,8.55553681168959,8.60190485723334,8.5485380314594,8.42123952534092,8.42614365191167,8.46744005683557,8.59473405818723,8.59027086107389,8.4477620442168,8.55865098851517,8.64061996381687
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.2300851719735,32.52928447792,32.1986640895556,32.2509366657545,32.4472629887963,32.2609972888986,32.4207175851573,32.2770365142866,31.7305365046474,31.9065758460294,31.7919931373888,31.7889900833185,31.8981853258244,31.9692918392119,31.8957199585447,32.2152849705973,31.8555896052488,31.1149652152383,29.4624787234336,28.9040817195856,28.6856226938953,28.5896500389775,28.9128205078147,28.8877736707911,28.6037177786004,28.5424351692153,28.4847070825635,28.7069273584411,28.7249051913707,28.2965657643653,28.0578252548025,28.1608107956845,28.3211593110564
"Part time employment, female (% of total female employment)",SL.TLF.PART.FE.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.14,39.71,39.58,38.38,39.87,37.09,35.55,36.54,36.28,36.52,36.8,36.12,35.78,35.43,35.41,39.14,37.19,37.02,36.21,35.29,35.93,36.28,34.72,34.8,33.31,32.57,35.24,32.32,32.7,32.64
"Part time employment, male (% of total male employment)",SL.TLF.PART.MA.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.8,22.16,22.2,21.3,22.62,20.65,19.44,20.65,20.35,20.69,20.74,20.34,20.21,19.89,21.12,25.29,23.32,22.97,22.23,21.48,21.62,22.14,20.99,21.15,20.13,19.67,23.19,20.57,21,20.65
"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,United States,USA,6.7,9.3,8.6,8.2,7.2,6.8,7.4,7.9,9.4,9.2,7.6,7.4,7.1,6.2,5.6,5.4,5.5,6.4,7,6.6,6.053,5.671,5.47,5.074,4.62,4.338,4.098,4.654,5.613,5.665,5.398,5.097,4.627,4.502,5.422,8.069,8.621,8.463,7.893,7.076,6.06,5.179,4.789,4.309,3.838,3.61,8.345,5.215,3.614,3.454
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,United States,USA,4.9,7.9,7.1,6.3,5.3,5.1,6.9,7.4,9.9,9.9,7.4,7,6.9,6.2,5.5,5.2,5.7,7.2,7.9,7.2,6.175,5.633,5.435,4.937,4.416,4.115,3.9,4.799,5.931,6.271,5.642,5.072,4.619,4.726,6.1,10.294,10.521,9.374,8.225,7.638,6.262,5.369,4.94,4.396,3.947,3.722,7.797,5.468,3.681,3.8
"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.WORK.FE.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,94.3799476401094,94.5719641354811,94.5376442943732,94.6135092259553,94.7500702145417,94.7996180919731,94.8811895834801,95.1002897229964,95.2649549812058,95.3141169418375,95.341165474438,95.4010003217612,95.2379791539103,95.2354731778841,95.2985146682373,95.330906307281,95.4196573819261,95.5482254590116,95.4626172941735,95.4565402304248,95.5682824551994,95.5970468547816,95.6695135513515,95.7492656974943,95.7319389594971,95.7597326273631,95.815824591529,95.7878324210248,95.8965486624761,95.7976459133362,95.5120183225731,95.7379942749293,95.8472587492316
"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",SL.EMP.WORK.MA.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,88.2704869284505,88.6799636348397,88.4865077868828,88.4211618502874,88.7503537257513,88.9132064822178,89.1380158946289,89.5635751094325,89.9493010225645,90.0796125712839,90.2001224135861,90.3621596744499,90.1029988697284,90.1091339804712,90.2530115722617,90.3503828381837,90.6015182229397,90.8412367307408,90.7171939775591,90.8181502586136,91.169523246737,91.2933275687013,91.5279758838391,91.739971214748,91.766474232868,91.8525451617136,92.0449126857113,92.0161720243586,92.2617112581136,91.9680272836768,91.6845261102042,92.040798000081,92.2967227510802
